№ п/п;Код ОВД;Год;Номер документа;Номер престу;Дата постановки в ИЦ;Текст решения;Дата решения;Фамилия сл-ля;Шифр докумен;Дата создания записи;Код принятого решения;Кто принял решение (код);Сообщение / Основание;Тип записи (Дисклеймер ИИ)
1803;2;2009;441502;1;22.06.2016;Возобн.приост.ст208ч.1п.1;21.06.2016;АЛЕШКЕНА;3;23.06.2016;174;5;;Сгенерировано ИИ (модифицировано, любые совпадения случайны)
1804;2;2009;441602;1;22.06.2016;Возобн.приост.ст208ч.1п.1;21.06.2016;АЛЕШКЕНА;3;23.06.2016;174;5;;Сгенерировано ИИ (модифицировано, любые совпадения случайны)
1805;2;2009;441702;1;22.06.2016;Возобн.приост.ст208ч.1п.1;21.06.2016;АЛЕШКЕНА;3;23.06.2016;174;5;;Сгенерировано ИИ (модифицировано, любые совпадения случайны)
1806;2;2009;448302;1;22.06.2016;Возобн.приост.ст208ч.1п.1;21.06.2016;АЛЕШКЕНА;3;23.06.2016;174;5;;Сгенерировано ИИ (модифицировано, любые совпадения случайны)
1807;2;2009;449402;1;22.06.2016;Возобн.приост.ст208ч.1п.1;21.06.2016;АЛЕШКЕНА;3;23.06.2016;174;5;;Сгенерировано ИИ (модифицировано, любые совпадения случайны)
1808;2;2009;449902;1;22.06.2016;Возобн.приост.ст208ч.1п.1;21.06.2016;АЛЕШКЕНА;3;23.06.2016;174;5;;Сгенерировано ИИ (модифицировано, любые совпадения случайны)
1809;2;2009;451702;1;22.06.2016;Возобн.приост.ст208ч.1п.1;21.06.2016;АЛЕШКЕНА;3;23.06.2016;174;5;;Сгенерировано ИИ (модифицировано, любые совпадения случайны)
1810;2;2009;456402;1;22.06.2016;Возобн.приост.ст208ч.1п.1;21.06.2016;АЛЕШКЕНА;3;23.06.2016;174;5;;Сгенерировано ИИ (модифицировано, любые совпадения случайны)
1811;2;2009;459902;1;22.06.2016;Возобн.приост.ст208ч.1п.1;21.06.2016;АЛЕШКЕНА;3;23.06.2016;174;5;;Сгенерировано ИИ (модифицировано, любые совпадения случайны)
1812;2;2009;460102;1;22.06.2016;Возобн.приост.ст208ч.1п.1;21.06.2016;АЛЕШКЕНА;3;23.06.2016;174;5;;Сгенерировано ИИ (модифицировано, любые совпадения случайны)
1813;2;2009;462702;1;22.06.2016;Возобн.приост.ст208ч.1п.1;21.06.2016;АЛЕШКЕНА;3;23.06.2016;174;5;;Сгенерировано ИИ (модифицировано, любые совпадения случайны)
1814;2;2009;462802;1;22.06.2016;Возобн.приост.ст208ч.1п.1;21.06.2016;АЛЕШКЕНА;3;23.06.2016;174;5;;Сгенерировано ИИ (модифицировано, любые совпадения случайны)
1815;2;2009;463502;1;22.06.2016;Возобн.приост.ст208ч.1п.1;21.06.2016;АЛЕШКЕНА;3;23.06.2016;174;5;;Сгенерировано ИИ (модифицировано, любые совпадения случайны)
1816;2;2009;464102;1;22.06.2016;Возобн.приост.ст208ч.1п.1;21.06.2016;АЛЕШКЕНА;3;23.06.2016;174;5;;Сгенерировано ИИ (модифицировано, любые совпадения случайны)
1817;2;2009;465602;1;22.06.2016;Возобн.приост.ст208ч.1п.1;21.06.2016;АЛЕШКЕНА;3;23.06.2016;174;5;;Сгенерировано ИИ (модифицировано, любые совпадения случайны)
1818;2;2009;465702;1;22.06.2016;Возобн.приост.ст208ч.1п.1;21.06.2016;АЛЕШКЕНА;3;23.06.2016;174;5;;Сгенерировано ИИ (модифицировано, любые совпадения случайны)
1819;2;2009;471202;1;30.06.2016;Возобн.приост.ст208ч.1п.1;21.06.2016;АЛЕШКЕНА;3;02.07.2016;174;5;;Сгенерировано ИИ (модифицировано, любые совпадения случайны)
1820;2;2009;471702;1;22.06.2016;Возобн.приост.ст208ч.1п.1;21.06.2016;АЛЕШКЕНА;3;23.06.2016;174;5;;Сгенерировано ИИ (модифицировано, любые совпадения случайны)
1821;2;2009;474202;1;22.06.2016;Возобн.приост.ст208ч.1п.1;21.06.2016;АЛЕШКЕНА;3;23.06.2016;174;5;;Сгенерировано ИИ (модифицировано, любые совпадения случайны)
1822;2;2009;477202;1;22.06.2016;Возобн.приост.ст208ч.1п.1;21.06.2016;АЛЕШКЕНА;3;23.06.2016;174;5;;Сгенерировано ИИ (модифицировано, любые совпадения случайны)
1823;2;2009;480202;1;22.06.2016;Возобн.приост.ст208ч.1п.1;21.06.2016;АЛЕШКЕНА;3;23.06.2016;174;5;;Сгенерировано ИИ (модифицировано, любые совпадения случайны)
1824;2;2009;481502;1;22.06.2016;Возобн.приост.ст208ч.1п.1;21.06.2016;АЛЕШКЕНА;3;23.06.2016;174;5;;Сгенерировано ИИ (модифицировано, любые совпадения случайны)
1825;2;2009;484802;1;22.06.2016;Возобн.приост.ст208ч.1п.1;21.06.2016;АЛЕШКЕНА;3;23.06.2016;174;5;;Сгенерировано ИИ (модифицировано, любые совпадения случайны)
1826;2;2009;486102;1;22.06.2016;Возобн.приост.ст208ч.1п.1;21.06.2016;АЛЕШКЕНА;3;23.06.2016;174;5;;Сгенерировано ИИ (модифицировано, любые совпадения случайны)
1827;2;2009;488002;1;22.06.2016;Возобн.приост.ст208ч.1п.1;21.06.2016;АЛЕШКЕНА;3;23.06.2016;174;5;;Сгенерировано ИИ (модифицировано, любые совпадения случайны)
1828;2;2009;488202;1;22.06.2016;Возобн.приост.ст208ч.1п.1;21.06.2016;АЛЕШКЕНА;3;23.06.2016;174;5;;Сгенерировано ИИ (модифицировано, любые совпадения случайны)
1829;2;2009;610001;1;22.06.2016;Возобн.приост.ст208ч.1п.1;21.06.2016;АЛЕШКЕНА;3;23.06.2016;174;5;;Сгенерировано ИИ (модифицировано, любые совпадения случайны)
1830;2;2010;82790;1;22.06.2016;Возобн.приост.ст208ч.1п.1;21.06.2016;АЛЕШКЕНА;3;23.06.2016;174;5;;Сгенерировано ИИ (модифицировано, любые совпадения случайны)
1831;2;2010;490902;1;22.06.2016;Возобн.приост.ст208ч.1п.1;21.06.2016;АЛЕШКЕНА;3;23.06.2016;174;5;;Сгенерировано ИИ (модифицировано, любые совпадения случайны)
1832;2;2010;491002;1;22.06.2016;Возобн.приост.ст208ч.1п.1;21.06.2016;АЛЕШКЕНА;3;23.06.2016;174;5;;Сгенерировано ИИ (модифицировано, любые совпадения случайны)
1833;2;2010;491602;1;22.06.2016;Возобн.приост.ст208ч.1п.1;21.06.2016;АЛЕШКЕНА;3;23.06.2016;174;5;;Сгенерировано ИИ (модифицировано, любые совпадения случайны)
1834;2;2010;492202;1;22.06.2016;Возобн.приост.ст208ч.1п.1;21.06.2016;АЛЕШКЕНА;3;23.06.2016;174;5;;Сгенерировано ИИ (модифицировано, любые совпадения случайны)
1835;2;2010;496102;1;22.06.2016;Возобн.приост.ст208ч.1п.1;21.06.2016;АЛЕШКЕНА;3;23.06.2016;174;5;;Сгенерировано ИИ (модифицировано, любые совпадения случайны)
1836;2;2010;497302;1;22.06.2016;Возобн.приост.ст208ч.1п.1;21.06.2016;АЛЕШКЕНА;3;23.06.2016;174;5;;Сгенерировано ИИ (модифицировано, любые совпадения случайны)
1837;2;2010;500502;1;22.06.2016;Возобн.приост.ст208ч.1п.1;21.06.2016;АЛЕШКЕНА;3;23.06.2016;174;5;;Сгенерировано ИИ (модифицировано, любые совпадения случайны)
1838;2;2010;500902;1;22.06.2016;Возобн.приост.ст208ч.1п.1;21.06.2016;АЛЕШКЕНА;3;23.06.2016;174;5;;Сгенерировано ИИ (модифицировано, любые совпадения случайны)
1839;2;2010;501102;1;22.06.2016;Возобн.приост.ст208ч.1п.1;21.06.2016;АЛЕШКЕНА;3;23.06.2016;174;5;;Сгенерировано ИИ (модифицировано, любые совпадения случайны)
1840;2;2010;501602;1;22.06.2016;Возобн.приост.ст208ч.1п.1;21.06.2016;АЛЕШКЕНА;3;23.06.2016;174;5;;Сгенерировано ИИ (модифицировано, любые совпадения случайны)
1841;2;2010;502902;1;22.06.2016;Возобн.приост.ст208ч.1п.1;21.06.2016;АЛЕШКЕНА;3;23.06.2016;174;5;;Сгенерировано ИИ (модифицировано, любые совпадения случайны)
1842;2;2010;504802;1;30.06.2016;Возобн.приост.ст208ч.1п.1;21.06.2016;АЛЕШКЕНА;3;02.07.2016;174;5;;Сгенерировано ИИ (модифицировано, любые совпадения случайны)
1843;2;2010;505102;1;22.06.2016;Возобн.приост.ст208ч.1п.1;21.06.2016;АЛЕШКЕНА;3;23.06.2016;174;5;;Сгенерировано ИИ (модифицировано, любые совпадения случайны)
1844;2;2010;505702;1;22.06.2016;Возобн.приост.ст208ч.1п.1;21.06.2016;АЛЕШКЕНА;3;23.06.2016;174;5;;Сгенерировано ИИ (модифицировано, любые совпадения случайны)
1845;2;2010;506102;1;20.05.2016;По инициативе прокур.п.1;16.05.2016;МАКОРОВ;3;27.05.2016;174;43;;Сгенерировано ИИ (модифицировано, любые совпадения случайны)
1846;2;2010;506802;1;22.06.2016;Возобн.приост.ст208ч.1п.1;21.06.2016;АЛЕШКЕНА;3;23.06.2016;174;5;;Сгенерировано ИИ (модифицировано, любые совпадения случайны)
1847;2;2010;508302;1;22.06.2016;Возобн.приост.ст208ч.1п.1;21.06.2016;АЛЕШКЕНА;3;23.06.2016;174;5;;Сгенерировано ИИ (модифицировано, любые совпадения случайны)
1848;2;2010;508402;1;22.06.2016;Возобн.приост.ст208ч.1п.1;21.06.2016;АЛЕШКЕНА;3;23.06.2016;174;5;;Сгенерировано ИИ (модифицировано, любые совпадения случайны)
1849;2;2010;510702;1;22.06.2016;Возобн.приост.ст208ч.1п.1;21.06.2016;АЛЕШКЕНА;3;23.06.2016;174;5;;Сгенерировано ИИ (модифицировано, любые совпадения случайны)
1850;2;2010;512302;1;22.06.2016;Возобн.приост.ст208ч.1п.1;21.06.2016;АЛЕШКЕНА;3;23.06.2016;174;5;;Сгенерировано ИИ (модифицировано, любые совпадения случайны)
1851;2;2010;517902;1;22.06.2016;Возобн.приост.ст208ч.1п.1;21.06.2016;АЛЕШКЕНА;3;23.06.2016;174;5;;Сгенерировано ИИ (модифицировано, любые совпадения случайны)
1852;2;2010;526302;1;22.06.2016;Возобн.приост.ст208ч.1п.1;21.06.2016;АЛЕШКЕНА;3;23.06.2016;174;5;;Сгенерировано ИИ (модифицировано, любые совпадения случайны)
1853;2;2010;529502;1;22.06.2016;Возобн.приост.ст208ч.1п.1;21.06.2016;АЛЕШКЕНА;3;23.06.2016;174;5;;Сгенерировано ИИ (модифицировано, любые совпадения случайны)
1854;2;2010;529702;1;22.06.2016;Возобн.приост.ст208ч.1п.1;21.06.2016;АЛЕШКЕНА;3;23.06.2016;174;5;;Сгенерировано ИИ (модифицировано, любые совпадения случайны)
1855;2;2010;530802;1;22.06.2016;Возобн.приост.ст208ч.1п.1;21.06.2016;АЛЕШКЕНА;3;23.06.2016;174;5;;Сгенерировано ИИ (модифицировано, любые совпадения случайны)
1856;2;2010;532502;1;22.06.2016;Возобн.приост.ст208ч.1п.1;21.06.2016;АЛЕШКЕНА;3;23.06.2016;174;5;;Сгенерировано ИИ (модифицировано, любые совпадения случайны)
1857;2;2010;541002;1;30.06.2016;Возобн.приост.ст208ч.1п.1;21.06.2016;АЛЕШКЕНА;3;02.07.2016;174;5;;Сгенерировано ИИ (модифицировано, любые совпадения случайны)
1858;2;2010;542802;1;22.06.2016;Возобн.приост.ст208ч.1п.1;21.06.2016;АЛЕШКЕНА;3;23.06.2016;174;5;;Сгенерировано ИИ (модифицировано, любые совпадения случайны)
1859;2;2010;545002;1;22.06.2016;Возобн.приост.ст208ч.1п.1;21.06.2016;АЛЕШКЕНА;3;23.06.2016;174;5;;Сгенерировано ИИ (модифицировано, любые совпадения случайны)
1860;2;2010;547902;1;22.06.2016;Возобн.приост.ст208ч.1п.1;21.06.2016;АЛЕШКЕНА;3;23.06.2016;174;5;;Сгенерировано ИИ (модифицировано, любые совпадения случайны)
1861;2;2010;549302;1;22.06.2016;Возобн.приост.ст208ч.1п.1;21.06.2016;АЛЕШКЕНА;3;23.06.2016;174;5;;Сгенерировано ИИ (модифицировано, любые совпадения случайны)
1862;2;2010;549402;1;22.06.2016;Возобн.приост.ст208ч.1п.1;21.06.2016;АЛЕШКЕНА;3;23.06.2016;174;5;;Сгенерировано ИИ (модифицировано, любые совпадения случайны)
1863;2;2010;553302;1;20.05.2016;По инициативе прокур.п.1;16.05.2016;МАКОРОВ;3;27.05.2016;174;43;;Сгенерировано ИИ (модифицировано, любые совпадения случайны)
1864;2;2010;553302;1;30.03.2016;Возобн.приост.ст208ч.1п.1;28.03.2016;ФИЛИППАВА;3;31.03.2016;174;2;;Сгенерировано ИИ (модифицировано, любые совпадения случайны)
1865;2;2010;553802;1;22.06.2016;Возобн.приост.ст208ч.1п.1;21.06.2016;АЛЕШКЕНА;3;23.06.2016;174;5;;Сгенерировано ИИ (модифицировано, любые совпадения случайны)
1866;2;2010;571802;1;22.06.2016;Возобн.приост.ст208ч.1п.1;21.06.2016;АЛЕШКЕНА;3;23.06.2016;174;5;;Сгенерировано ИИ (модифицировано, любые совпадения случайны)
1867;2;2010;572202;1;22.06.2016;Возобн.приост.ст208ч.1п.1;21.06.2016;АЛЕШКЕНА;3;23.06.2016;174;5;;Сгенерировано ИИ (модифицировано, любые совпадения случайны)
1868;2;2010;578702;1;22.06.2016;Возобн.приост.ст208ч.1п.1;21.06.2016;АЛЕШКЕНА;3;23.06.2016;174;5;;Сгенерировано ИИ (модифицировано, любые совпадения случайны)
1869;2;2010;578802;1;22.06.2016;Возобн.приост.ст208ч.1п.1;21.06.2016;АЛЕШКЕНА;3;23.06.2016;174;5;;Сгенерировано ИИ (модифицировано, любые совпадения случайны)
1870;2;2010;581802;1;22.06.2016;Возобн.приост.ст208ч.1п.1;21.06.2016;АЛЕШКЕНА;3;23.06.2016;174;5;;Сгенерировано ИИ (модифицировано, любые совпадения случайны)
1871;2;2010;584902;1;29.07.2016;Возобн.приост.ст208ч.1п.1;21.06.2016;АЛЕШКЕНА;3;29.07.2016;174;5;;Сгенерировано ИИ (модифицировано, любые совпадения случайны)
1872;2;2010;585102;1;30.06.2016;Возобн.приост.ст208ч.1п.1;21.06.2016;АЛЕШКЕНА;3;03.07.2016;174;5;;Сгенерировано ИИ (модифицировано, любые совпадения случайны)
1873;2;2010;585302;1;30.06.2016;Возобн.приост.ст208ч.1п.1;21.06.2016;АЛЕШКЕНА;3;03.07.2016;174;5;;Сгенерировано ИИ (модифицировано, любые совпадения случайны)
1874;2;2010;664302;1;20.05.2016;По инициативе прокур.п.1;16.05.2016;МАКОРОВ;3;27.05.2016;174;43;;Сгенерировано ИИ (модифицировано, любые совпадения случайны)
1875;2;2012;551102;1;22.06.2016;Возобн.приост.ст208ч.1п.1;21.06.2016;АЛЕШКЕНА;3;23.06.2016;174;5;;Сгенерировано ИИ (модифицировано, любые совпадения случайны)
1876;2;2012;581102;1;22.06.2016;Возобн.приост.ст208ч.1п.1;21.06.2016;АЛЕШКЕНА;3;23.06.2016;174;5;;Сгенерировано ИИ (модифицировано, любые совпадения случайны)
1877;2;2012;601002;1;22.06.2016;Возобн.приост.ст208ч.1п.1;21.06.2016;АЛЕШКЕНА;3;23.06.2016;174;5;;Сгенерировано ИИ (модифицировано, любые совпадения случайны)
1878;2;2013;609202;1;22.06.2016;Возобн.приост.ст208ч.1п.1;21.06.2016;АЛЕШКЕНА;3;23.06.2016;174;5;;Сгенерировано ИИ (модифицировано, любые совпадения случайны)
1879;2;2013;631902;1;22.06.2016;Возобн.приост.ст208ч.1п.1;21.06.2016;АЛЕШКЕНА;3;23.06.2016;174;5;;Сгенерировано ИИ (модифицировано, любые совпадения случайны)
1880;2;2013;648902;1;22.06.2016;Возобн.приост.ст208ч.1п.1;21.06.2016;АЛЕШКЕНА;3;23.06.2016;174;5;;Сгенерировано ИИ (модифицировано, любые совпадения случайны)
1881;2;2013;653802;1;22.06.2016;Возобн.приост.ст208ч.1п.1;21.06.2016;АЛЕШКЕНА;3;23.06.2016;174;5;;Сгенерировано ИИ (модифицировано, любые совпадения случайны)
1882;2;2013;669302;1;22.06.2016;Возобн.приост.ст208ч.1п.1;21.06.2016;АЛЕШКЕНА;3;23.06.2016;174;5;;Сгенерировано ИИ (модифицировано, любые совпадения случайны)
1883;2;2013;677502;1;29.07.2016;По инициативе прокур.п.1;28.07.2016;ФЕДОРИНКО;3;29.07.2016;174;2;;Сгенерировано ИИ (модифицировано, любые совпадения случайны)
1884;2;2013;687702;1;22.06.2016;Возобн.приост.ст208ч.1п.1;21.06.2016;АЛЕШКЕНА;3;23.06.2016;174;5;;Сгенерировано ИИ (модифицировано, любые совпадения случайны)
1885;2;2013;690502;1;31.05.2016;По инициативе прокур.п.1;16.03.2016;ФЕДОРИНКО;3;01.06.2016;174;2;;Сгенерировано ИИ (модифицировано, любые совпадения случайны)
1886;2;2013;703202;1;22.06.2016;Возобн.приост.ст208ч.1п.1;21.06.2016;АЛЕШКЕНА;3;23.06.2016;174;5;;Сгенерировано ИИ (модифицировано, любые совпадения случайны)
1887;2;2013;704302;1;22.06.2016;Возобн.приост.ст208ч.1п.1;21.06.2016;АЛЕШКЕНА;3;23.06.2016;174;5;;Сгенерировано ИИ (модифицировано, любые совпадения случайны)
1888;2;2013;707402;1;22.06.2016;Возобн.приост.ст208ч.1п.1;21.06.2016;АЛЕШКЕНА;3;23.06.2016;174;5;;Сгенерировано ИИ (модифицировано, любые совпадения случайны)
1889;2;2013;726302;1;22.06.2016;Возобн.приост.ст208ч.1п.1;21.06.2016;АЛЕШКЕНА;3;23.06.2016;174;5;;Сгенерировано ИИ (модифицировано, любые совпадения случайны)
1890;2;2013;734602;1;22.06.2016;Возобн.приост.ст208ч.1п.1;21.06.2016;АЛЕШКЕНА;3;23.06.2016;174;5;;Сгенерировано ИИ (модифицировано, любые совпадения случайны)
1891;2;2013;752502;1;22.06.2016;Возобн.приост.ст208ч.1п.1;21.06.2016;АЛЕШКЕНА;3;23.06.2016;174;5;;Сгенерировано ИИ (модифицировано, любые совпадения случайны)
1892;2;2013;759102;1;22.06.2016;Возобн.приост.ст208ч.1п.1;21.06.2016;АЛЕШКЕНА;3;23.06.2016;174;5;;Сгенерировано ИИ (модифицировано, любые совпадения случайны)
1893;2;2013;760302;1;22.06.2016;Возобн.приост.ст208ч.1п.1;21.06.2016;АЛЕШКЕНА;3;23.06.2016;174;5;;Сгенерировано ИИ (модифицировано, любые совпадения случайны)
1894;2;2013;761502;1;22.06.2016;Возобн.приост.ст208ч.1п.1;21.06.2016;АЛЕШКЕНА;3;23.06.2016;174;5;;Сгенерировано ИИ (модифицировано, любые совпадения случайны)
1895;2;2013;761602;1;22.06.2016;Возобн.приост.ст208ч.1п.1;21.06.2016;АЛЕШКЕНА;3;23.06.2016;174;5;;Сгенерировано ИИ (модифицировано, любые совпадения случайны)
1896;2;2013;761702;1;22.06.2016;Возобн.приост.ст208ч.1п.1;21.06.2016;АЛЕШКЕНА;3;23.06.2016;174;5;;Сгенерировано ИИ (модифицировано, любые совпадения случайны)
1897;2;2013;764202;1;29.07.2016;Возобн.приост.ст208ч.1п.1;21.06.2016;АЛЕШКЕНА;3;29.07.2016;174;5;;Сгенерировано ИИ (модифицировано, любые совпадения случайны)
1898;2;2013;776102;1;22.06.2016;Возобн.приост.ст208ч.1п.1;21.06.2016;АЛЕШКЕНА;3;23.06.2016;174;5;;Сгенерировано ИИ (модифицировано, любые совпадения случайны)
1899;2;2013;786502;1;22.06.2016;Возобн.приост.ст208ч.1п.1;21.06.2016;АЛЕШКЕНА;3;23.06.2016;174;5;;Сгенерировано ИИ (модифицировано, любые совпадения случайны)
1900;2;2013;797402;1;22.06.2016;Возобн.приост.ст208ч.1п.1;21.06.2016;АЛЕШКЕНА;3;23.06.2016;174;5;;Сгенерировано ИИ (модифицировано, любые совпадения случайны)
1901;2;2013;798202;1;22.06.2016;Возобн.приост.ст208ч.1п.1;21.06.2016;АЛЕШКЕНА;3;23.06.2016;174;5;;Сгенерировано ИИ (модифицировано, любые совпадения случайны)
1902;2;2013;799102;1;20.01.2016;По инициативе прокур.п.1;22.01.2016;ФЕДОРИНКО;3;27.01.2016;174;2;;Сгенерировано ИИ (модифицировано, любые совпадения случайны)
1903;2;2013;804902;1;22.06.2016;Возобн.приост.ст208ч.1п.1;21.06.2016;АЛЕШКЕНА;3;23.06.2016;174;5;;Сгенерировано ИИ (модифицировано, любые совпадения случайны)
1904;2;2013;808602;1;08.02.2016;Возобн.приост.ст208ч.1п.1;01.02.2016;ВАЖЕНА;3;08.02.2016;174;5;;Сгенерировано ИИ (модифицировано, любые совпадения случайны)
1905;2;2013;815002;1;22.06.2016;Возобн.приост.ст208ч.1п.1;21.06.2016;АЛЕШКЕНА;3;23.06.2016;174;5;;Сгенерировано ИИ (модифицировано, любые совпадения случайны)
1906;2;2013;815702;1;22.06.2016;Возобн.приост.ст208ч.1п.1;21.06.2016;АЛЕШКЕНА;3;23.06.2016;174;5;;Сгенерировано ИИ (модифицировано, любые совпадения случайны)
1907;2;2013;819402;1;22.06.2016;Возобн.приост.ст208ч.1п.1;21.06.2016;АЛЕШКЕНА;3;23.06.2016;174;5;;Сгенерировано ИИ (модифицировано, любые совпадения случайны)
1908;2;2013;823802;1;22.06.2016;Возобн.приост.ст208ч.1п.1;21.06.2016;АЛЕШКЕНА;3;23.06.2016;174;5;;Сгенерировано ИИ (модифицировано, любые совпадения случайны)
1909;2;2013;829502;1;22.06.2016;Возобн.приост.ст208ч.1п.1;21.06.2016;АЛЕШКЕНА;3;23.06.2016;174;5;;Сгенерировано ИИ (модифицировано, любые совпадения случайны)
1910;2;2013;835402;1;29.07.2016;Возобн.приост.ст208ч.1п.1;21.06.2016;АЛЕШКЕНА;3;29.07.2016;174;5;;Сгенерировано ИИ (модифицировано, любые совпадения случайны)
1911;2;2013;840002;1;08.02.2016;Возобн.приост.ст208ч.1п.1;01.02.2016;ВАЖЕНА;3;08.02.2016;174;5;;Сгенерировано ИИ (модифицировано, любые совпадения случайны)
1912;2;2013;840402;1;22.06.2016;Возобн.приост.ст208ч.1п.1;21.06.2016;АЛЕШКЕНА;3;23.06.2016;174;5;;Сгенерировано ИИ (модифицировано, любые совпадения случайны)
1913;2;2013;840702;1;22.06.2016;Возобн.приост.ст208ч.1п.1;21.06.2016;АЛЕШКЕНА;3;23.06.2016;174;5;;Сгенерировано ИИ (модифицировано, любые совпадения случайны)
1914;2;2013;841902;1;22.06.2016;Возобн.приост.ст208ч.1п.1;21.06.2016;АЛЕШКЕНА;3;23.06.2016;174;5;;Сгенерировано ИИ (модифицировано, любые совпадения случайны)
1915;2;2013;844502;1;22.06.2016;Возобн.приост.ст208ч.1п.1;21.06.2016;АЛЕШКЕНА;3;23.06.2016;174;5;;Сгенерировано ИИ (модифицировано, любые совпадения случайны)
1916;2;2013;848602;1;22.06.2016;Возобн.приост.ст208ч.1п.1;21.06.2016;АЛЕШКЕНА;3;23.06.2016;174;5;;Сгенерировано ИИ (модифицировано, любые совпадения случайны)
1917;2;2013;849002;1;08.02.2016;Возобн.приост.ст208ч.1п.1;01.02.2016;ВАЖЕНА;3;08.02.2016;174;5;;Сгенерировано ИИ (модифицировано, любые совпадения случайны)
1918;2;2013;850202;1;22.06.2016;Возобн.приост.ст208ч.1п.1;21.06.2016;АЛЕШКЕНА;3;23.06.2016;174;5;;Сгенерировано ИИ (модифицировано, любые совпадения случайны)
1919;2;2013;851702;1;08.02.2016;Возобн.приост.ст208ч.1п.1;01.02.2016;ВАЖЕНА;3;08.02.2016;174;2;;Сгенерировано ИИ (модифицировано, любые совпадения случайны)
1920;2;2013;853102;1;20.01.2016;Возобн.приост.ст208ч.1п.1;12.01.2016;ВАЖЕНА;3;21.01.2016;174;5;;Сгенерировано ИИ (модифицировано, любые совпадения случайны)
1921;2;2013;853602;1;20.01.2016;Возобн.приост.ст208ч.1п.1;12.01.2016;ВАЖЕНА;3;21.01.2016;174;5;;Сгенерировано ИИ (модифицировано, любые совпадения случайны)
1922;2;2013;853702;1;08.02.2016;Возобн.приост.ст208ч.1п.1;01.02.2016;ВАЖЕНА;3;08.02.2016;174;5;;Сгенерировано ИИ (модифицировано, любые совпадения случайны)
1923;2;2013;855102;1;20.01.2016;Возобн.приост.ст208ч.1п.1;12.01.2016;ВАЖЕНА;3;21.01.2016;174;5;;Сгенерировано ИИ (модифицировано, любые совпадения случайны)
1924;2;2013;855702;1;20.01.2016;Возобн.приост.ст208ч.1п.1;12.01.2016;ВАЖЕНА;3;21.01.2016;174;5;;Сгенерировано ИИ (модифицировано, любые совпадения случайны)
1925;2;2013;855802;1;20.01.2016;Возобн.приост.ст208ч.1п.1;12.01.2016;ВАЖЕНА;3;21.01.2016;174;5;;Сгенерировано ИИ (модифицировано, любые совпадения случайны)
1926;2;2013;855902;1;20.01.2016;Возобн.приост.ст208ч.1п.1;12.01.2016;ВАЖЕНА;3;21.01.2016;174;5;;Сгенерировано ИИ (модифицировано, любые совпадения случайны)
1927;2;2013;856002;1;20.01.2016;Возобн.приост.ст208ч.1п.1;12.01.2016;ВАЖЕНА;3;21.01.2016;174;5;;Сгенерировано ИИ (модифицировано, любые совпадения случайны)
1928;2;2013;856102;1;20.01.2016;Возобн.приост.ст208ч.1п.1;12.01.2016;ВАЖЕНА;3;21.01.2016;174;5;;Сгенерировано ИИ (модифицировано, любые совпадения случайны)
1929;2;2013;856602;1;08.02.2016;Возобн.приост.ст208ч.1п.1;01.02.2016;ВАЖЕНА;3;08.02.2016;174;5;;Сгенерировано ИИ (модифицировано, любые совпадения случайны)
1930;2;2013;857102;1;20.01.2016;Возобн.приост.ст208ч.1п.1;12.01.2016;ВАЖЕНА;3;21.01.2016;174;5;;Сгенерировано ИИ (модифицировано, любые совпадения случайны)
1931;2;2013;857802;1;20.01.2016;Возобн.приост.ст208ч.1п.1;12.01.2016;ВАЖЕНА;3;21.01.2016;174;5;;Сгенерировано ИИ (модифицировано, любые совпадения случайны)
1932;2;2013;858002;1;20.01.2016;Возобн.приост.ст208ч.1п.1;12.01.2016;ВАЖЕНА;3;21.01.2016;174;5;;Сгенерировано ИИ (модифицировано, любые совпадения случайны)
1933;2;2013;860002;1;22.06.2016;Возобн.приост.ст208ч.1п.1;21.06.2016;АЛЕШКЕНА;3;23.06.2016;174;5;;Сгенерировано ИИ (модифицировано, любые совпадения случайны)
1934;2;2013;861602;1;22.06.2016;Возобн.приост.ст208ч.1п.1;21.06.2016;АЛЕШКЕНА;3;23.06.2016;174;5;;Сгенерировано ИИ (модифицировано, любые совпадения случайны)
1935;2;2013;861802;1;22.06.2016;Возобн.приост.ст208ч.1п.1;21.06.2016;АЛЕШКЕНА;3;23.06.2016;174;5;;Сгенерировано ИИ (модифицировано, любые совпадения случайны)
1936;2;2013;861902;1;22.06.2016;Возобн.приост.ст208ч.1п.1;21.06.2016;АЛЕШКЕНА;3;23.06.2016;174;5;;Сгенерировано ИИ (модифицировано, любые совпадения случайны)
1937;2;2013;862602;1;22.06.2016;Возобн.приост.ст208ч.1п.1;21.06.2016;АЛЕШКЕНА;3;23.06.2016;174;5;;Сгенерировано ИИ (модифицировано, любые совпадения случайны)
1938;2;2013;864402;1;20.01.2016;Возобн.приост.ст208ч.1п.1;12.01.2016;ВАЖЕНА;3;21.01.2016;174;5;;Сгенерировано ИИ (модифицировано, любые совпадения случайны)
1939;2;2013;865202;1;20.01.2016;Возобн.приост.ст208ч.1п.1;12.01.2016;ВАЖЕНА;3;21.01.2016;174;5;;Сгенерировано ИИ (модифицировано, любые совпадения случайны)
1940;2;2013;866002;1;20.01.2016;Возобн.приост.ст208ч.1п.1;12.01.2016;ВАЖЕНА;3;21.01.2016;174;5;;Сгенерировано ИИ (модифицировано, любые совпадения случайны)
